%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
51.0, -113113.61797018266, -132825.01790821768, -183641.23954072472, -182660.04266262564, -184181.0788728093, -133575.38832132678, -163612.19896223533, -183881.27492443027, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428983431E9, 0.0, 2025-02-06 17:37:08.983
52.0, -113156.75683698141, -132853.359920187, -183723.00222194224, -181937.96955799696, -184272.40810065367, -133634.95572030018, -163750.2433359913, -184003.0248764783, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428987468E9, 0.0, 2025-02-06 17:37:08.987
53.0, -113203.53903812636, -132884.49590021325, -183692.8050151831, -182035.64668126663, -184366.30777911042, -133697.33943907495, -163893.76388713883, -184129.84867451774, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428991478E9, 0.0, 2025-02-06 17:37:08.991
54.0, -113246.56614620282, -132913.19554009385, -183645.53107566014, -182168.28193286443, -184458.48637324412, -133757.80090782655, -164035.0716155853, -184356.45065980562, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428995495E9, 0.0, 2025-02-06 17:37:08.995
55.0, -113299.51742881745, -132950.2323806563, -183712.60866077052, -182306.05808568693, -184608.6230407504, -133826.75603947116, -164192.20437910612, -184590.58518297496, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428999502E9, 0.0, 2025-02-06 17:37:08.999
56.0, -113368.74078139554, -133002.87073884855, -183657.8915903439, -182468.04117775455, -184966.1615450575, -133920.856883628, -164372.3594394159, -184544.8088103305, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881429004539E9, 0.0, 2025-02-06 17:37:09.004
57.0, -113437.96413397363, -133057.2078296194, -183641.95479654727, -182625.1515895309, -185024.79017076376, -134029.24049249178, -164553.52032822615, -184467.60588498187, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881429007522E9, 0.0, 2025-02-06 17:37:09.007
58.0, -113509.02032959704, -133112.70721110192, -183714.0615241601, -182781.21146931787, -184952.37051872857, -134141.93798803544, -164734.6365135475, -184391.74406430055, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881429011555E9, 0.0, 2025-02-06 17:37:09.011
59.0, -113585.64210958984, -133174.50978452084, -183659.3891572224, -182950.97296845593, -184885.27058187374, -134259.0387772368, -164922.25705650533, -184320.62081344376, 0.016, 0.058, 0.99, 192.0, 0.0, 128.0, 1.0, 208.0, 30.0, 240.0, 0.0, 0.0, 0.0, 1.7388814290156E9, 0.0, 2025-02-06 17:37:09.015
60.0, -113659.35816280344, -133234.3007009388, -183606.0802466965, -183113.6713163461, -184816.18133976238, -134373.63617105916, -165108.6706052626, -184247.6870712861, 0.016, 0.058, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881429019597E9, 0.0, 2025-02-06 17:37:09.019
